Sentence;P;P_DESC;A0;A0_DESC;A1;A1_DESC;A2;A2_DESC;DomainActions
If this content has a pending view count of 0 and the last date viewed is more than 2 days ago, the content is deleted.;deleted;remove;;;the content;thing being removed;;;Data,Write,Delete
Content editor places content on WebNewsOnLine web site (existing system, mechanisms for posting defined by existing system).;existing;be;;;(;thing existing;;;Noise
Content editor places content on WebNewsOnLine web site (existing system, mechanisms for posting defined by existing system).;defined;assign a label or attribute;by existing system);describer;;;;;Noise
Content editor places content on WebNewsOnLine web site (existing system, mechanisms for posting defined by existing system).;existing;be;;;;;;;Noise
This currently includes indicating major content category (professional sports, high school sports, collegiate sports, or other).;includes;include;;;indicating major content category (professional sports, high school sports, collegiate sports, or other);theme, thing being included in some group;This;group;Noise
This currently includes indicating major content category (professional sports, high school sports, collegiate sports, or other).;indicating;show;;;;;;;Noise
WebNewsOnLine system checks reference information to determine whether this content category is known by the Collegiate Sports Paging System.;determine;set, establish, decide;;;whether this content category is known by the Collegiate Sports Paging System;thing determined;;;Process,Calculation,Verification
WebNewsOnLine system checks reference information to determine whether this content category is known by the Collegiate Sports Paging System.;known;understand;by the Collegiate Sports Paging System;knower;this content category;thing known or thought;;;Noise
For categories that are known by the Collegiate Sports Paging System, stories are transmitted to the Collegiate Sports Paging System along with category information.;known;understand;by the Collegiate Sports Paging System;knower;categories;thing known or thought;;;Noise
For categories that are known by the Collegiate Sports Paging System, stories are transmitted to the Collegiate Sports Paging System along with category information.;transmitted;send (electronically);;;stories;sent;to the Collegiate Sports Paging System;sent-to;Process,Communication,Indoor
Content is placed into the Collegiate Sports Paging System storage for possible paging.;placed;location;;;Content;thing put;into the Collegiate Sports Paging System storage for possible paging;where put;Data,Write,Create
"If the content is not categorized, the story is placed in the editor’s ""to-do"" workflow queue.";categorized;assign into a category;;;the content;thing assigned;;;Noise
"If the content is not categorized, the story is placed in the editor’s ""to-do"" workflow queue.";placed;location;;;"""to-do"" workflow queue.";thing put;in the editor’s;where put;Data,Write,Update
"If the content is not categorized, the story is placed in the editor’s ""to-do"" workflow queue.";"""";;;;"to-do"" workflow queue";;;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;defined;assign a label or attribute;;;more than one editor;thing defined;;;Noise
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;used;Take advantage of, utilise;;;a round-robin approach;thing used;to attempt to balance load;purpose;Noise
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;attempt;try;a round-robin approach;Agent/Entity Trying;to balance load;thing tried;;;Noise
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;balance;establish a balance;a round-robin approach;balancer, agent;load;thing balanced;;;Process,Calculation
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;marked;make a mark;;;Editors;mark;;;Data,Write,Update
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;included;include;;;;;in the round-robin process;group;Process,Calculation
Editor must be logged in.;logged;to record or to navigate somewhere online;;;Editor;thing recorded, internet/software;;;Process,Verification
"When this use case is complete, the ""Send Page"" use case is invoked.";Send;give;"the """;sender;Page;sent;;;Noise
"When this use case is complete, the ""Send Page"" use case is invoked.";invoked;call upon;;;""" use case";invoked;;;UseCase,Flow
The flow is initiated when an editor posts content to the system or when new content is received from the existing WebNewsOnLine system.;initiated;begin;The flow;causer;when an editor posts;Theme(-Creation);content to the system;Instrument;UseCase,Begin
The flow is initiated when an editor posts content to the system or when new content is received from the existing WebNewsOnLine system.;received;get;;;new content;thing gotten;from the existing WebNewsOnLine system;received from;Process,Communication,Indoor
The flow is initiated when an editor posts content to the system or when new content is received from the existing WebNewsOnLine system.;existing;be;;;the;thing existing;;;Noise
System checks subscriber profiles to determine whether any subscribers wish to be paged for this category of content.;determine;set, establish, decide;;;whether any subscribers wish to be paged for this category of content;thing determined;;;Process,Calculation
System checks subscriber profiles to determine whether any subscribers wish to be paged for this category of content.;wish;wish;any subscribers;wisher;to be paged for this category of content;thing wished for;;;Noise
System checks subscriber profiles to determine whether any subscribers wish to be paged for this category of content.;paged;notify someone via beeper;;;any subscribers;notified person;for this category of content;;Process,Calculation
System generates a text message based on the headline.;generates;create;System;creator;a text message based on the headline;thing created;;;Data,Write,Create,Process,Calculation
System generates a text message based on the headline.;based;justified by;;;a text message;decision;on the headline;justification;Noise
System constructs a series of email messages.;constructs;build;System;builder;a series of email messages;construction;;;Process,Calculation
System sends email messages to subscribers (who will receive these as an alphanumeric page).;sends;give;System;sender;(who will receive these as an alphanumeric page);sent;to subscribers;sent-to;Process,Communication,Outdoor
System sends email messages to subscribers (who will receive these as an alphanumeric page).;(;;;;who will receive these as an alphanumeric page);;;;Noise
System sends email messages to subscribers (who will receive these as an alphanumeric page).;receive;get;;;these;thing gotten;;;
If no headline exists, a system default message is inserted into the email message.;exists;be;;;no headline;thing existing;;;Process,Verification
If no headline exists, a system default message is inserted into the email message.;inserted;to put or set into, between, or among;;;a system default message;entity inserted;into the email message;location;Process,Calculation
The default message is maintained on the system by WebNewsOnLine staff, and there is only one message on the system at any time.;maintained;keep (up);by WebNewsOnLine staff;maintainer;The default message;thing maintained;;;Process,Calculation
Content is posted, headline is available, categorization is available.;posted;cf report;;;Content;posted;;;Process,Communication,Indoor
"Potential Subscriber selects ""Subscribe"" option.";selects;to make a choice, to pick out;Potential Subscriber;selector;"""Subscribe"" option.";entity selected;;;IO,Input,Selection
System looks up current contract terms and available service options.;looks;vision;System;looker;current contract terms and available service options;thing looked at or for or on;;;Process,Calculation,Data,Read,Multiple
Potential subscriber acknowledges terms and selects service options.;acknowledges;admit;Potential subscriber;admitter, claimer, speaker;terms;proposition, claim, utterance;;;IO,Input,Entry
Potential subscriber acknowledges terms and selects service options.;selects;to make a choice, to pick out;Potential subscriber;selector;service options;entity selected;;;IO,Input,Selection
System records currently selected service options.;selected;to make a choice, to pick out;System records;selector;service options.;entity selected;;;IO,Input,Selection
"System displays categories of profile (personal, preferences, pager information, ""page me when"" selections).";"""page";;(personal;;me;;;;Noise
"System displays categories of profile (personal, preferences, pager information, ""page me when"" selections).";);;;;""" selections";;;;Noise
User selects category.;selects;to make a choice, to pick out;User;selector;category;entity selected;;;IO,Input,Selection
"User updates detail, presses ""OK"".";"""";;presses;;User updates detail;;;;Noise
System validates data as required, updates subscriber profile.;validates;to declare or make legally valid;System;causer;data;entity validated;as required, updates subscriber profile;;Process,Verification
System validates data as required, updates subscriber profile.;required;need;;;, updates subscriber profile;thing required;;;Noise
If the potential subscriber does not acknowledge the contract terms, the use case terminates.;acknowledge;admit;the potential subscriber;admitter, claimer, speaker;the contract terms;proposition, claim, utterance;;;IO,Input,Entry
If the potential subscriber does not acknowledge the contract terms, the use case terminates.;terminates;end, stop;;;the use case;Thing ending;;;UseCase,End
New subscriber is recorded in the system and may receive pages immediately.;recorded;make a permanent record;;;New subscriber;record;;;Data,Write,Create
New subscriber is recorded in the system and may receive pages immediately.;receive;get;;;pages;thing gotten;;;Process,Communication,Indoor
The system will not require user training beyond that of using a web browser.;require;need;The system;requirer;user training beyond that of using a web browser;thing required;;;
The system will not require user training beyond that of using a web browser.;using;Take advantage of, utilise;;;a web browser;thing used;;;
This will be verified by usability tests during the beta period.;verified;determine truth of a proposition;by usability tests;verifier;This;verified;;;
The system will be able to support 200,000 subscribers, and provide a scaling mechanism to handle 500,000 subscribers.;support;lend aid, credence to;The system;helper;200,000 subscribers;person or project being supported;;;
The system will be able to support 200,000 subscribers, and provide a scaling mechanism to handle 500,000 subscribers.;provide;cf give;The system;provider;a scaling mechanism to handle 500,000 subscribers;thing provided;;;
The system will be able to support 200,000 subscribers, and provide a scaling mechanism to handle 500,000 subscribers.;scaling;;;;a;;;;
The system will be able to support 200,000 subscribers, and provide a scaling mechanism to handle 500,000 subscribers.;handle;hold, metaphorically deal with;;;500,000 subscribers;thing handled;;;
When a news story is posted to the system, pages must be transmitted to the pager gateway within 5 minutes.;posted;cf report;;;to the system;posted;;;
When a news story is posted to the system, pages must be transmitted to the pager gateway within 5 minutes.;transmitted;send (electronically);;;pages;sent;to the pager gateway;sent-to;
The subscriber shall be able to utilize the system through commercially available browser software.;utilize;to put to use;The subscriber;user, agent;the system;entity utilized;;;
No custom software will be required to reside on the subscriber’s PC.;required;need;;;to reside on the subscriber’s PC;thing required;;;
No custom software will be required to reside on the subscriber’s PC.;reside;to live for an extended period;No custom software;entity residing;on the subscriber’s PC;location;;;
The system shall conform with existing WebNewsOnLine web site design standards.;conform;(cause) to be similar, comply;;;The system;entity conforming;with existing WebNewsOnLine web site design standards;entity conforming to;
The system shall conform with existing WebNewsOnLine web site design standards.;existing;be;;;WebNewsOnLine web site design standards;thing existing;;;
The system shall communicate with the existing WebNewsOnLine web site for the purpose of receiving story content.;communicate;communicate;The system;first (or all) communicator;;;with the existing WebNewsOnLine web site for the purpose of receiving story content;other communicator(s);
The system shall communicate with the existing WebNewsOnLine web site for the purpose of receiving story content.;existing;be;;;the;thing existing;;;
The system shall communicate with the existing WebNewsOnLine web site for the purpose of receiving story content.;receiving;get;;;story content;thing gotten;;;
The system will interconnect with the existing WebNewsOnLine system to receive content.;interconnect;connect back and forth;The system;agent;with the existing WebNewsOnLine system;things connected;;;
The system will interconnect with the existing WebNewsOnLine system to receive content.;existing;be;;;the;thing existing;;;
The system will interconnect with the existing WebNewsOnLine system to receive content.;receive;get;The system;receiver;content;thing gotten;;;
