"Sentence";"P";"P_DESC";"A0";"A0_DESC";"A1";"A1_DESC";"A2";"A2_DESC";"DomainActions"
"The unique identifier for the selected health unit is sent to the server.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"The unique identifier for the selected health unit is sent to the server.";"sent";"give";"";"";"The unique identifier for the selected health unit";"sent";"to the server";"sent-to";""
"The system ensures the health unit data is consistent.";"ensures";"promise";"The system";"entity making guarantee";"the health unit data is consistent";"guarantee";"";"";""
"The system retrieves the data for the selected health unit.";"retrieves";"get back";"The system";"receiver";"the data";"thing gotten";"";"";""
"The system retrieves the data for the selected health unit.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"The data retrieved is returned to the employee.";"retrieved";"get back";"";"";"is returned to the employee.";"thing gotten";"";"";""
"The data retrieved is returned to the employee.";"returned";"come back";"";"";"";"";"";"";""
"The health unit data is formatted and presented on the employee's local display.";"formatted";"";"";"";"The health unit data";"";"";"";""
"The health unit data is formatted and presented on the employee's local display.";"presented";"give";"";"";"The health unit data";"thing given";"";"";""
"The employee alters the necessary data.";"alters";"transform";"The employee";"causer of transformation";"the necessary data";"thing changing";"";"";""
"The updated information is sent to the server.";"updated";"make more modern";"";"";"The";"thing becoming more modern";"";"";""
"The updated information is sent to the server.";"sent";"give";"";"";"The updated information";"sent";"to the server";"sent-to";""
"The system ensures the health unit data is left in a consistent state.";"ensures";"promise";"The system";"entity making guarantee";"the health unit data is left in a consistent state";"guarantee";"";"";""
"The system ensures the health unit data is left in a consistent state.";"left";"move away from";"";"";"the health unit data";"place, person, or thing left";"";"";""
"The system stores the updated health unit information.";"updated";"make more modern";"";"";"the";"thing becoming more modern";"";"";""
", 8: A problem occurs retrieving the health unit information.";"occurs";"occur, take place";"";"";"retrieving the health unit information";"event";"";"";""
", 8: A problem occurs retrieving the health unit information.";"retrieving";"get back";"A problem";"receiver";"the health unit information";"thing gotten";"";"";""
"Raise an error message.";"Raise";"go up quantifiably";"";"";"an error message";"Logical subject, patient, thing rising";"";"";""
", 6, 9, 12: A communication problem occurs.";"occurs";"occur, take place";"";"";"";"";"";"";""
"Raise an error message.";"Raise";"go up quantifiably";"";"";"an error message";"Logical subject, patient, thing rising";"";"";""
"Data consistency cannot be assured.";"assured";"calm someone's nerves";"";"";"Data consistency cannot";"assured one";"";"";""
"Raise an error message.";"Raise";"go up quantifiably";"";"";"an error message";"Logical subject, patient, thing rising";"";"";""
"A problem occurs storing the updated health unit data.";"occurs";"occur, take place";"";"";"storing the updated health unit data";"event";"";"";""
"A problem occurs storing the updated health unit data.";"storing";"store";"A problem";"storer";"the updated health unit data";"commodity";"";"";""
"A problem occurs storing the updated health unit data.";"updated";"make more modern";"";"";"the";"thing becoming more modern";"";"";""
"Raise an error message.";"Raise";"go up quantifiably";"";"";"an error message";"Logical subject, patient, thing rising";"";"";""
"Verified employee.";"Verified";"determine truth of a proposition";"";"";"employee.";"verified";"";"";""
"Health unit's data updated on the system.";"updated";"make more modern";"";"";"Health unit's data";"thing becoming more modern";"";"";""
"The employee chooses the change logged employee option.";"chooses";"choose, pick";"The employee";"picker";"the change logged employee option";"thing picked";"";"";""
"The employee chooses the change logged employee option.";"logged";"to record or to navigate somewhere online";"the change";"recorder, logger, agent";"employee option";"thing recorded, internet/software";"";"";""
"The system shows the login screen, and from this point on, the flow will follow the one described in ""Login"".";"shows";"cause to see";"The system";"shower";"the login screen";"thing seen/shown";"";"";""
"The system shows the login screen, and from this point on, the flow will follow the one described in ""Login"".";"follow";"adhere to, accept, pursue";"the flow";"acceptor, pursuer";"the one described in ""Login""";"thing followed";"";"";""
"The system shows the login screen, and from this point on, the flow will follow the one described in ""Login"".";"described";"assign a label or attribute";"";"";"the one";"thing described";"";"";""
"Verified employee.";"Verified";"determine truth of a proposition";"";"";"employee.";"verified";"";"";""
"First employee signed out and new employee logged-in.";"signed";"sign up: enroll, enter";"";"";"First employee";"patient enrolled";"";"";""
"The system should have an easy to use GUI, as any person who has access to the internet should be able to use the system.";"have";"own, possess";"The system";"owner";"an easy to use GUI, as any person who has access to the internet should be able to use the system";"possession";"";"";""
"The system should have an easy to use GUI, as any person who has access to the internet should be able to use the system.";"use";"Take advantage of, utilise";"";"";"GUI";"thing used";"as any person who has access to the internet should be able to use the system";"purpose";""
"The system should have an easy to use GUI, as any person who has access to the internet should be able to use the system.";"has";"own, possess";"any person";"owner";"access to the internet";"possession";"";"";""
"The system should have an easy to use GUI, as any person who has access to the internet should be able to use the system.";"use";"Take advantage of, utilise";"";"";"the system";"thing used";"";"";""
"The system should have an on-line HELP to be consulted by any person that uses it.";"have";"own, possess";"The system";"owner";"an on-line HELP to be consulted by any person that uses it";"possession";"";"";""
"The system should have an on-line HELP to be consulted by any person that uses it.";"consulted";"get together with";"by any person that uses it";"consulter";"an on-line HELP";"consulted with";"";"";""
"The system should have an on-line HELP to be consulted by any person that uses it.";"uses";"Take advantage of, utilise";"any person";"User";"it";"thing used";"";"";""
"The nature of the system not being a critical system, the system might stay off until any fault is fixed.";"stay";"remain, be left over";"";"";"the system";"thing remaining";"";"";""
"The nature of the system not being a critical system, the system might stay off until any fault is fixed.";"fixed";"repair";"";"";"any fault";"thing fixed";"";"";""
"The system must be capable to handle 20 simultaneous users.";"handle";"hold, metaphorically deal with";"The system";"handler";"20 simultaneous users";"thing handled";"";"";""
"The response time must not exceed 5 seconds.";"exceed";"be more than";"The response time";"thing that's more";"5 seconds";"thing that's less";"";"";""
"The system should use a security protocol when sending data over the internet.";"use";"Take advantage of, utilise";"The system";"User";"a security protocol";"thing used";"";"";""
"The system should use a security protocol when sending data over the internet.";"sending";"give";"The system";"sender";"data";"sent";"over the internet";"sent-to";""
"To have access to the complaint registration features, access must be allowed by the access control sub-system.";"have";"own, possess";"access";"owner";"access to the complaint registration features";"possession";"";"";""
"To have access to the complaint registration features, access must be allowed by the access control sub-system.";"allowed";"let";"by the access control sub-system";"allower";"access";"action allowed";"";"";""
"The system must be developed according to the standards established by X1, responsible for the norms and standardization of systems for the City Hall.";"developed";"create";"";"";"The system";"thing created";"";"";""
"The system must be developed according to the standards established by X1, responsible for the norms and standardization of systems for the City Hall.";"established";"establish";"by X1";"agent, setter";"the standards";"thing set";"";"";""
"This section lists the hardware and software to be used for the system to operate in a desirable fashion.";"lists";"enumerate";"This section";"lister";"the hardware and software to be used for the system to operate in a desirable fashion";"item";"";"";""
"This section lists the hardware and software to be used for the system to operate in a desirable fashion.";"used";"Take advantage of, utilise";"";"";"";"";"to operate in a desirable fashion";"purpose";""
"This section lists the hardware and software to be used for the system to operate in a desirable fashion.";"operate";"cf work";"";"";"";"";"";"";""
"This equipment shall be used by the attendant as a workstation.";"used";"Take advantage of, utilise";"by the attendant";"User";"This equipment";"thing used";"as a workstation";"purpose";""
"The system should be capable of running on separate machines.";"running";"operate, procede";"The system";"operator";"";"";"";"";""
"For example, the system core could be running on one machine and the Servlets on another.";"running";"operate, procede";"";"";"the system core";"machine, operation, procedure";"";"";""
"The user interface must be implemented using Servlets.";"implemented";"bring about";"";"";"The user interface";"thing implemented";"";"";""
"The user interface must be implemented using Servlets.";"using";"Take advantage of, utilise";"";"";"Servlets";"thing used";"";"";""
"The system must be flexible in terms of the storage format allowing the use of arrays or different databases (MySQL, Oracle, etc.).";"allowing";"let";"the storage format";"allower";"MySQL, Oracle,";"action allowed";"";"";""
"The system must be flexible in terms of the storage format allowing the use of arrays or different databases (MySQL, Oracle, etc.).";"(";"";"";"";"";"";"";"";""
